text,sentiment
o Galeon nao consegue fazer a autenticacao na eduroam-guest X(,negative
your freedom+proxifier = vai te lixar eduroam,negative
"O Network Manager no Ubuntu deixa cair a eduroam constantemente, o Wicd resolve esse problema mas é mto limitado em funcionalidades extra...",negative
Agora so preciso de alguma coisa para por o wireless do politecnico(eduroam) a bombar no ubuntu :D,positive
"Ei, 2ª vez no mesmo dia que apanho ""lugar"" no rapidshare na eduroam...não é normal!",neutral
"#IVECDM Devido a problemas com a eduroam não foi possivel twittar.
debate aberto entre Nuno Coelho e a audiência",negative
@PauloQuerido é que acesso à borla já todos temos em todos os campi com as redes eduroam,neutral
@hugopeixoto Nao é eduroam e consigo aceder à pagina principal do feupload e à da aefeup. Só nao consigo visualizar (e descarregar) files,neutral
@Sazz_S Isso é eduroam? consegues aceder ao www.aefeup.pt ?,neutral
"@retorta olá e bom dia mário! eduroam é a designação da rede wi-fi das IES na europa..+- isto. mesmo perfil, uma rede ;) www.eduroam.org",positive
raios... consegue-se ligar eduroam mais rápido e melhor em Plymouth que em braga????????!!!!!!,neutral
"na uminho... complexo pedagógico 1, anfiteatro 1... para ouvir o famoso stephen downes :)

complexo mesmo está ligar a eduroam!!!",negative
@marcopinheiro a resposta oficial é que há eduroam em todo o campus ;) não é @ndantas?,positive
Rede eduroam no Windows 7 - SecureW2: Artigo escrito para o Peopleware por: José Ramos Nota prévia do Peopleware.. http://tinyurl.com/dy3w8m,neutral
"Se alguem tiver problemas com a eduroam no Windows 7, isto pode ajudar: http://tinyurl.com/dy3w8m",neutral
Rede eduroam no Windows 7 - SecureW2: Artigo escrito para o Peopleware por: José Ramos Nota prévia do Peopleware.. http://tinyurl.com/dy3w8m,neutral
Rede eduroam no Windows 7 - SecureW2: Artigo escrito para o Peopleware por: José Ramos Nota prévia do Peopleware.. http://tinyurl.com/dy3w8m,neutral
@ndantas essa coisa da eduroam é uma coisa do demónio. Ainda hoje estou para descobrir como se configura um Windows Mobile.,negative
Alguém tem um android a funcionar com a eduroam ?,neutral
Estou espantado com o firmware consegui aceder à eduroam a primeira!,positive
@DSilvassl ao menos tem o curso de hi5 e woc! e tb sabe configurar a eduroam AHAHAHHA not,negative
A rede wifi eduroam no iscte tem muitas falh,negative
@mmrosmaninho é a eduroam... ela falha sempre quando mais precisas! (geralmente durante alguma aula super secante),negative
@grandenaboverde eduroam... eu massacro os gajos com o meu iPod touch :) Mas no DEEI temos Wifi que funciona para todos e em tudo! :),positive
@arturmartins ahh! e eu a massacrar-te com os problemas que encontrava na rede eduroam.. desculpa qualquer coisinha! :),positive
ESTeSL também já tem eduroam a 300Mbit/s! -&gt; http://tinyurl.com/mt73uy,positive
"Muahahaha, Ligado à Eduroam da ESAPL, na Panilima... :-D",positive
Ponto de trabalho nº3: Tutorial para Windows Xp e Windows Vista para configurar a Internet Wireless Eduroam no site http://www.aaubi.net,neutral
@xehoz um bocado... é favor. Já estive noutras instituições com eduroam e era bem mais simples configurar e usar :\,negative
@arnax por acaso sabes configurar o wi-fi/eduroam da uminho em linux? As instruções no site são pré-históricas...,negative
Um dia o meu HTC Touch Diamond 2 vai falar Android.. e o Windows Mobile vai funcionar na Eduroam..,negative
alguem me sabe dizer se o HTC Magic funciona com a eduroam? @relax ?,neutral
"@madril Ahhhhh, ok. Então e já experimentaste os dados normais de login do eduroam?",neutral
@tonyvirtual ouvi rumores que os alunos universitarios podiam usar PTWifi com as credenciais eduroam.,neutral
@madril Não estou a perceber. Então o que queres é aceder à rede eduroam através do ptwifi ou ao contrário?,neutral
"@madril Mas se tens acesso eduroam, porque queres aceder ao ptwifi?",neutral
É impressão minha ou ouvi que dava para aceder ao PTWifi pela eduroam? Se sim como?,neutral
"Ok, wireless eduroam, vpn pptp e vpn checkpoint testados, já posso encostar o windows 7 e voltar ao meu Linux",positive
"Vou pagar 1.5 para usar durante uma hora uma ligacao a net que pela velocidade parece-me dial-up. Eduroam, I miss you...",positive
@skit O Helpdesk em Agosto está de férias... Excelente mês para ultrapassar o limite de downloads da eduroam :P,negative
"@Caneco E colocar a net ""eduroam"" a funcionar, ja conseguiste?",neutral
eduroam em S60 sim com sip phone já é mais dificil mas ta quase :),positive
Já tenho eduroam! YAY! E já estou a ouvir rádio na net! Lágrimas de felicidade...,positive
"É incrível, mas para instalar a eduroam aqui, só o posso fazer das 14h às 15h! Não é justo!",negative
HELP! Eduroam e macbook como gatinho das neves!!! Como é q me ligo??,neutral
tou com stresses a autenticar-me no slow leopard à eduroam da uminho. help?,negative
@pedropatinho isso por acaso liga à eduroam? nem sequer encontrei o sítio para escolher a encriptação...,negative
@Ferreira Y... dp de te autenticares na eduroam ficas com mais...,neutral
"Epah, alguém sabe como se configura o adium para usar a eduroam?",neutral
@eduardomota Já ai estive hoje... Olha depois ensinas-me a configurar a Eduroam!,neutral
a minha net hj deve tar a morrer! Vou pedir ao suporte para por a eduroam/rede da faculdade em casa!,neutral
Está engraçado sim senhor... Mas a eduroam ainda não funciona :p,negative
"hoje mais uma vez testei o hack eduroam, e tá tudo a funcionar perfect!",positive
Consegui configurar a merda da wpa supplicant a mao! Ja tenho eduroam no movel :-) :-) :-),positive
UPDATE eduroam@UAlg: parece que já não é necessário proxy para estar ligado!! :),positive
"@chateaufiesta sim. mas aqui na universidade só funciona às vezes, devido à porcaria da eduroam.",negative
Grandes progressos com o eduroam@UAlg... Mais uns testes e faço o post!,positive
Adivinhem quem conseguiu ter net pelo eduroam na UAlg no iPhone :) #win #UAlg,positive
Estou na Biblioteca da Universidade de Lisboa e não consigo ligar-me à rede eduroam com as minhas credenciais de... http://ff.im/9IX9I,negative
@pedroangelo se estiveres ligado à eduroam devia ser transparente!! se estás como guest..tás f****o,neutral
"Esta eduroam é um jardim murado de primeira. Alguém sabe como fazer uma ligação openvpn ou ssh para fora (hint @ndantas, hint)",neutral
Não sei o que se passa hoje com a eduroam e o meu iPhone na Uminho mas ta a funcionar lindamente. Parece mentira!,positive
o cica não me sabe por a dar o eduroam no mac. Alguém com problemas a aceder ao eduroam com Snow Leopard?,negative
Ok... iPod touch com o 3.1.1 ligou-se sem espinhas ao eduroam ;),positive
"@retorta penso que não, mas acho que estavam a tratar disso... mas sem certeza que há a rede ""eduroam""!",neutral
E como que por milagre o iPhone decidiu por livre e espontânea vontade aceder a eduroam. Fixe:),positive
@vanessaquiterio acho que o caso não está fácil =/ então nem eduroam há no auditório do upload?,negative
"@felgueiras util=axxxxx@alunos.uminho.pt
pass=.....
rede sem fios=eduroam
seleccionar TTLS, configurar -&gt; autenticação interna TTLS = PAP",neutral
@hmabreu jovem preciso das configs para a eduroam po mac... Na cena da 802.1X na parte da autenticacao o que tens???,neutral
Porra para a eduroam. Hoje nem do portátil !,negative
Alguém sabe aceder à rede Eduroam através do HTC Magic?,neutral
@PTthe13 tenho mm que quitar o bicho. Já agr o upgrade não faz reset ao tmv pois não? É só pq tenho a eduroam configurada e deu um trabalhão,negative
"@pedrosalgueiro desisti da eduroam, volto qd tiver em casa daqui nada :P",negative
Alguém sabe como configurar a rede eduroam para Nokia 5530 Xpress music ?,neutral
O CeSIUM já não é um buraco negro da eduroam!,negative
Ainda bem que há eduroam nas universidades. E bares com alcoól barato tb ajudam á festa,positive
@eduardomota @FreemanPT e ñ será da rede daí. Eu sempre tive algumas chatices com o eduroam no polo 2.,negative
FAIL: eduroam na FEUP não funciona em mac's (ou aparentemente só em algumas versões),negative
"@relax se não tens eduroam, vpn, nem podes fazer login nos pcs, como é que acedes à tua home?",neutral
@relax too bad =/ Anyway agora estou um bocado longe para apanhar a eduroam.,negative
"Tenho net EDUROAM no meu mac, com a apple tudo é fácil.",positive
Nada como ter a eduroam em baixo para saber o que é estar atento às aulas… :P,positive
"Estou a descobrir aos poucos que a net eduroam no ISEP é anti-apple, ao fim de saltar de gabinete em gabinete ouço isto de um ""técnico"".",negative
ADD:asco de eduroam,negative
Estou ligado à eduroam pelo meu nokia. Épico!,positive
O Eduroam tá óptimo....,positive
Hj aconteceu-me uma coisa gira. A eduroam falhou no campus td e ninguém tinha net wireless menos eu que tinha na boa.,negative
eduroam me va fatal :(,negative
"Finalmente, Eduroam configurado em Linux no meu fujitsu!!!
Sistema Operativo - Caixa Mágica 14
Placa Wireless - Sis 163u usb interna",positive
"engraçado como entrei na #ufp e o meu #iphone ajuntou-se logo logo à #eduroam.... sem stress sem complicações :)))(

very nice!",positive
"Barracada, bloquearam o acesso a todas as redes sociais através da eduroam!",negative
A eduroam às vezes tira-me do sério :P,negative
Alguém sabe mapear portas para subdomains? É que a eduroam bloqueia-me acesso a bué portas no servidor n sei como contornar!!,negative
É engraçado como hoje o Mac me está a dar mais problemas com a eduroam que o Android -.-',negative
"Update do iPhone para o IOS 4 resolveu aquilo que mais queria, não ter que reconectar manualmente à rede Eduroam após ele estar suspenso",positive
@Uttini Devo estar com sorte então. Tou num lab e a eduroam ainda só caiu uma vez :D,positive
DI sem rede...e Eduroam a ir e vir...estamos bem :S,negative
@carlosefonseca Fixe é 1 amigo meu q tem um Mac e q o Google n funciona bem pela eduroam lool. Agr com o Safari 5 lembrou-se de usar Bing :P,neutral
´dá para matar o Eduroam ?,negative
"@tiaguinho80 pior que eduroam só o router de cada nação em cada piso, que precisa de configuração diferente #FAIL",negative
Confere MUITO! Mas agora é o que tenho... RT @sfoliveira: Eduroam é merda! RT @tiaguinho80: @Dores o eduroam que nao me falhe...,negative
Eduroam é merda! RT @tiaguinho80: @Dores o eduroam que nao me falhe...,negative
@Dores o eduroam que nao me falhe...,negative
Estou ligado à eduroam-guest e a navegar na internet. In #coisasquenaosepercebe,positive
@eduroam @fcul suca tanto!,neutral
"Quer dizer, seria giro se a eduroam não estivesse a ir abaixo a cada 2 minutos -.-",negative
"Não sei o que se passa hoje por aqui, a eduroam está lenta, e por cabo não está muito melhor... #INESC",negative
"RT @peopleware: Rede eduroam no TMN A1: No sábado passado, anunciamos aqui a disponibilização do Android 2.1 oficial para o TMN A1... ht ...",neutral
"Rede eduroam no TMN A1: No sábado passado, anunciamos aqui a disponibilização do Android 2.1 oficial para o TMN A1... http://bit.ly/cEp8lz",neutral
"Rede eduroam no TMN A1: No sábado passado, anunciamos aqui a disponibilização do Android 2.1 oficial para o TMN A1... http://bit.ly/cEp8lz",neutral
"Rede eduroam no TMN A1: No sábado passado, anunciamos aqui a disponibilização do Android 2.1 oficial para o TMN A1... http://bit.ly/aDmejx",neutral
"[Peopleware] Rede eduroam no TMN A1: No sábado passado, anunciamos aqui a disponibilização do Android 2.1 oficial ... http://bit.ly/dau40F",neutral
"A configurar o n80 para apanhar a eduroam, e a instalar o tweets no tlm. Score xD",neutral
Eduroam . Net . Muito . Lenta .,negative
"@pr0p Agora também tou, através da Eduroam.",positive
@BUGabundo É um TMN A1 (Huawei U8230) com Android 2.1 Eclair. Já andei por lá a ver se resolvia o problema da Eduroam mas sem sucesso :(,negative
@Ferreira A aplicação das settings do wifi pifa :/ Mas só se me tentar ligar à Eduroam,negative
"@Ferreira Ferreira, tiveste de fazer algum tweak ao Android para ligares à rede Eduroam? Cmg crasha-me as settings se me ligo à eduroam :S",negative
Esta eduroam é uma desgraça. :S,negative
Ai! Tenho eduroam! Yes!,positive
"Welcome to China: Internet da UA (eduroam) bloqueia acesso a sites de jogos, apostas, pornografia, etc...",neutral
não sabia que não era necessário ter um certificado para aceder à eduroam :),neutral
@cachada configuração da eduroam ou o cliente não funciona dentro da rede?,neutral
Anda cá eduroam.. usa o 3G se quiseres.. :),positive
A tentar descobrir o mistério da eduroam do IPB não funcionar no meu Iphone..,negative
RT @RealIvanSanchez: Sysadmins que no dan de baja usuarios de #eduroam : #WIN,positive
Sysadmins que no dan de baja usuarios de #eduroam : #WIN,positive
"LOL, agora até a eduroam foi abaixo!",negative
Será que posso confiar na Eduroam do INESC para fazer as inscrições logo? *whistles*,neutral
Na casa da música. Obrigado eduroam,positive
"@jfaias sim, é a ligação da faculdade. estamos a falar de eduroam?",neutral
"Heheee, eduroam no iPod, ishtaéla! Pena saber que não vai durar...",negative
"Magicamente, o meu iPod passou a dialogar com a eduroam.",positive
E eu que finalmente consegui aceder no Android à Internet exterior através da eduroam usando proxy? Já fiquei com um telemóvel mais útil.,positive
Tutorial de instalação da eduroam da Universidade do Minho - http://5z51.sl.pt - Symbian S60 (testado e aprovado no Nokia N81),positive
"Bem, parece que já não tenho direito à eduroam de novo. Oh well... Foi bom enquanto durou.",negative
Excelente notícia... #eduroam no brasil,positive
"@balhau Aaaah, estava a tentar relacionar com a Eduroam ou os caixotes do lixo! :P",negative
Há eduroam na estção de comboios! Lol Nunca ouvi nada tão barulhento como um F18!!,positive
E eis que fico sem acesso à Eduroam. TGIF?,negative
No meu blog: Eduroam (UMinho) no Android http://bit.ly/gfcKBo,neutral
RT @mallando: Eduroam: que é e configuracións para Android e Ubuntu 10.10 http://dlvr.it/9Mqj8,neutral
Eduroam: que é e configuracións para Android e Ubuntu 10.10 http://dlvr.it/9Mqj8,neutral
"@ptnik @BUGabundo supostamente deveria distinguir o mac, mas acho que tds pcs e pdas se ligam. No caso de ptwifi e eduroam ligam-se a qq ap",neutral
"Alguém sabe alterar password eduroam em Windows?Está uma por defeito,mas está errada.help please",negative
@pedrosanta sabes mas é configurar a eduroam no android? :),neutral
@reinomaluco A ver durante quanto tempo não me vou poder preocupar com a eduroam...,negative
"@reinomaluco Epá, era o gajo que tratava dessas cenas da eduroam lá na universidade. Presumo que soubesse o que fazia.",neutral
Wow! A eduroam acordou para a vida no meu portátil. Por quanto tempo?,positive
Raios partam a merda da ligação à eduroam!,negative
"@reinomaluco Da experiência que tenho com ela, digo que a eduroam não vale nada.",negative
E cá está a eduroam a passar-se! :S,negative
apanha se rede eduroam @estadio do dragao,positive
"@ruimoura Obviamente que estava no wireless… Thanks, já me tinham mostrado… Realmente já as tinha visto, qd andei a meter eduroam nisto…",positive
"Bah, a eduroam está tão lenta que tenho mesmo que ver o stream do @codebits nos pc's ranhosos da RNL... Damn RC!",negative
@melojms Vamos tentar ver isso numa rede eduroam e depois damos feedback. tks.,neutral
O trabalhinho a que se dão as gentes da minha Univ. FFFUUU! (eduroam é a rede da Univ. de Lisboa) http://twitpic.com/3jjw10,neutral
Acabei de configurar a Eduroam no meu X10 Mini Pro :D,positive
"RT @rjfv: Descobri agora que a eduroam tem limite de IPs também. Caro CIUC, darem 250 IPs para o Pólo I *todo* + FEUC, é gajo para ser p ...",negative
"Descobri agora que a eduroam tem limite de IPs também. Caro CIUC, darem 250 IPs para o Pólo I *todo* + FEUC, é gajo para ser pouco. #fb",negative
RT @ndantas: eduroam : a criar problemas de ligação desde que foi criada!,negative
eduroam : a criar problemas de ligação desde que foi criada!,negative
@relax já num tou com eduroam :P,positive
"está supercontenta porque, finalmente e apesar dos técnicos da súa uni, conseguiu conectar o seu mac a eduroam - thanks to @cyberpirla",positive
Até que enfim voltou a internet da UC (eduroam/eduroam-guest): desde a tarde da quinta-feira passada estava #offline a mesma. Agora vai! :D,positive
Portafolio: Eduardo Roa. http://eduroam.cgsociety.org/gallery/ #DigitalArtist #Amazing,positive
@n4d4br0v1tchk4 quase podia jurar que tem eduroam. mas normalmente quando lá vou uso tethering no iphone,neutral
20 min a configurar o wicd (via edição de ficheiros) para a eduroam depois do network manager fazer drops constantes à ligação.,negative
"seja onde for, eduroam não vai lá :\",negative
"RT @pplware: Configure a rede eduroam no Ubuntu: A configuração da rede eduroam no Ubuntu, ao contrário de outros sistemas op... http:// ...",neutral
Configure a rede eduroam no Ubuntu: A configuração da rede eduroam no Ubuntu http://bit.ly/fbnwc0 (via @peopleware),neutral
"Configure a rede eduroam no Ubuntu: A configuração da rede eduroam no Ubuntu, ao contrário de outros sistemas op... http://bit.ly/g4fFIp",neutral
"Configure a rede eduroam no Ubuntu: A configuração da rede eduroam no Ubuntu, ao contrário de outros sistemas op... http://bit.ly/fbnwc0",neutral
"Configure a rede eduroam no Ubuntu: A configuração da rede eduroam no Ubuntu, ao contrário de outros sistemas op... http://bit.ly/g4fFIp",neutral
"[Peopleware] Configure a rede eduroam no Ubuntu: A configuração da rede eduroam no Ubuntu, ao contrário de outro... http://bit.ly/dU4DJY",neutral
o jeitinho que dava a eduroam funcionar de forma decente ....,neutral
RT @pplware: Configure a rede eduroam em telefones Nokia: O paradigma está a mudar e actualmente os smartphones são excelente... http:// ...,positive
"@fcristovao @jpgneves Giro giro era fazer jamming ao sinal da eduroam, montar um hotspot noutro canal com o mesmo nome, blablabla… :-P",neutral
Configure a rede eduroam em telefones Nokia: O paradigma está a mudar e actualmente os smartphones são excelente... http://bit.ly/gfmSa6,positive
[Peopleware] Configure a rede eduroam em telefones Nokia: O paradigma está a mudar e actualmente os smartphones ... http://bit.ly/hIUcnK,positive
Configure a rede eduroam em telefones Nokia: O paradigma está a mudar e actualmente os smartphones são excelente... http://bit.ly/e9i9E3,positive
Configure a rede eduroam em telefones Nokia: O paradigma está a mudar e actualmente os smartphones são excelente... http://bit.ly/gfmSa6,positive
Usuaris d'eduroam a la upf... Com cony em connecto?????,neutral
No meu blog: Eduroam no Android (com Proxy) http://bit.ly/e5fyIa,neutral
Com o JBB a eduroam funciona bem!,positive
@jorge_ff Aposto que funciona melhor que a Eduroam,neutral
"Felizmente a ligação à Eduroam na Humboldt University está a funcionar bem, o que nem senpre acontece (nem na UMinho...)",positive
"@relax não fales mal da eduroam. Nas Astúrias, Castela e Leon... e Galiza funciona bem :D",positive
#fimuni nema na #eduroam #IPv6 :(,negative
Estou na biblioteca do ISCTE-IUL...1o meu teste para ver se eduroam funciona noutras faculdades...e funca... http://yfrog.com/h7zf7lkj,positive
olha a eduroam a falhar ...já estava a demorar!!!!!,negative
@ndantas @relax com eduroam no imac.....,neutral
. @ndantas @relax ligando o wifi no iMac.... será que a eduroam chega aqui? se sim pelo menos não tenho telef :))),neutral
Porque que é que tenho eduroam no estado do dragão? #fb,neutral
1hora e meia a tentar a ligar a eduroam do iscte sem sucesso.a eduroam devia permitir ligar c as minhas credenciais da FCTUNL...,negative
eduroam no me ajunta #uc3m,neutral
Não se arranja um user/senha da eduroam?,neutral
Configuração da eduroam no Android done...,neutral
"@rafaqueque @jpgodinho True. Eu estou smp ""loggado"" em MSN, GTalk e Facebook. Mas tipo o GTalk e Facebook n se ligam em eduroam no Pidgin :(",negative
@miguelscampos A eduroam da minha faculdade está funcionar correctamente..sem espinhas,positive
"se pedir ao Mário para ser meu amigo no Facebook, será que ele me ajuda a configurar o meu Boston para aceder à Eduroam?",neutral
"tentei abrir o azureus pela eduroam, e o programa ficou td comido e ja nem na rede de casa funciona :s",negative
eduroam e biblioteca da faculdade não combinam...,neutral
eduroam. praise be.,positive
@pedroranheta tu não tens eduroam nos dispositivos portáteis?,neutral
Que briga para ligar o pc à eduroam.... valeu-me o Android a servir de PA Móvel via 3G para conseguir instalar o raio do certificado...,negative
Anem a provar eduroam a vore com tira #fb,neutral
"Eduroam idiota, sempre a cair quando ligo com o iPod :\",negative
#turnodanoite ninguém por aí com umas credenciais a mais para a eduroam,neutral
Acabou se a festa da eduroam no ISCTE...errr,negative
Sucesso tenho eduroam no ISCTE,positive
@petersaints A segada da eduroam continua,negative
@petersaints Eu vi esse video...Hoje vou pra o ISCTE e depois digo se consigo ligar lá a eduroam.A semana passada não deu.,negative
@_marioteixeira_ @shello Este vídeo q fizeram para explicar o q é eduroam é q está engraçado: http://j.mp/gNHZ35,positive
Em imagens tens a noção do quao mal é eduroam nesta biblioteca http://yfrog.com/h0bjdap http://yfrog.com/gzxmrrp,negative
eduroam+biblioteca fctunl = não combinam,negative
Vou para baixo. #eduroam ao salvamento :D,positive
eduroam APESTAS,negative
Porque raio é que eu tenho eduroam no multiusos de rio maior?,neutral
A minha net em casa anda má.. mas olhem que a eduroam também anda rapidíssima! #fail,positive
Retiro o que disse da eduroam. Parece que foi um bug que pós isto a funcionar bem. O bug foi resolvido e tudo voltou ao que era. #FEUP #FAIL,positive
@luigidiot @razzo nao tens eduroam na faculdade?,neutral
"Alguém sabe configurar a rede ""eduroam"" no nokia 5800 para a ESCE? Ou conhecem alguém que saiba fazê-lo?",neutral
Janet: Piloto de acesso Eduroam em ônibus público inglês em curso. Semelhanças com o GT-REBus e EduroamBR que terão demos no WRNP? #RNPTNC,neutral
RT @flecsti: Janet: Piloto de acesso Eduroam em ônibus público inglês em curso. Semelhanças com o GT-REBus e EduroamBR que terão demos n ...,neutral
Janet: Piloto de acesso Eduroam em ônibus público inglês em curso. Semelhanças com o GT-REBus e EduroamBR que terão demos no WRNP? #RNPTNC,neutral
Estou admirado por o iPad se ter ligado a eduroam sem problemas.,positive
Perguntou-se aqui quem usou eduroam para logar na rede na sala 5B. Mais de 90% levantou a mão. A sala deve ter mais de 60 pessoas. #RNPTNC,positive
@Razzo não é só na feup. Eduroam é uma merda.,negative
ligado a eduroam | parvo de quem nao usar vpn ou semelhante,neutral
I liked a @YouTube video http://youtu.be/ldrwVBsK_a4?a Como configurar a rede sem fios eduroam no Windows 7?,positive
"@andretmcarmo aposto que foi por causa da eduroam, não está a enviar mails",negative
e não consegui tirar nada com a eduroam -.-,negative
Não poder enviar mails via SMTP do Google na eduroam sucks.,negative
@ruimoura Acontece-me sempre com eduroam no Snow Leopard.,neutral
Para quem está na #UA/#eduroam: o que é preciso para enviar emails à vontade? Não consigo enviar nenhum :(,negative
Pela primeira vez consegui ligar o meu Android à rede Eduroam da faculdade. Esta aula de Ética já valeu a pena!,positive
E o Chrome que me redireciona o @facebook para weblogin.fe.up.pt/index.html ! Mesmo não estando na eduroam!,negative
Parece que o eduroam aqui na @uatlantica já está melhor,positive
@joana_pereira Usa a eduroam.conferencias é a mesma coisa. Tás na feup?,neutral
A minha Universidade tem a pior eduroam do planeta.,negative
Estou ligado a eduroam com a conta de Feup!,positive
http://t.co/k5XBAB8 se connecter à eduroam #concentration #telecombretagne,positive
@iagovarela no móbil non vai eduroam ho!,neutral
"@cbranco Chama-se Eduroam em todo o lado, aqui e no estrangeiro e, SUPOSTAMENTE, funciona igual em todo o lado também.",neutral
A eduroam é uma trapalhada… aqui tive de desinstalar a do IPB para funcionar a da U.Coimbra..não era suposto ser o perfil ser reconhecido?,positive
Alguém ai sabe configurar Nokia5800 pra usar a wireless eduroam??,neutral
Eduroam na UA… odeio-te!,negative
Eduroam va fatal...,neutral
"Na aula de #infocv, a @ARitaCastro, depois de quinzemil tentativas, conseguiu conectar-se a eduroam... parabéns a você :D",positive
"Finalmente, conectei-me à eduroam yeyyy :D",positive
"parece que a @JoanaLourencoo se conseguiu conectar à eduroam, da minha parte lhe envio os mais sinceros parabéns :)) @anacima7 diz: parabéns",positive
Ontem estiveram cerca de 1050 pessoas ligadas em simultâneo à rede Eduroam na Feup...Nice,positive
@lycosman fartei-me de ter que reconfigurar a eduroam todas as vezes que quero ligar-me por WiFi no técnico :x,negative
@jose2mteixeira o teu gtalk funciona na eduroam?,neutral
"Eduroam configurado no telemóvel..
Amanha testa-se!",positive
eduroam APESTA,negative
"ter internet no iPod e não ter no computador. Vai ser assim, eduroam?",negative
"abençoado facetime e o eduroam, era só o que queria dizer :) #happycamper",positive
Já disse que a eduroam não vale um estouro? Desta vez os dois campi não tem acesso a internet wireless,negative
@aneves dou 5 euros a quem me configurar a eduroam nos meus dispositivos =P,negative
@aneves dou-te uma bolacha se me configurares a eduroam no meu portátil =p,negative
I liked a @YouTube video http://t.co/5iZMXmCO Como configurar a rede sem fios eduroam no Windows 7?,positive
Eduroam va fataaaal!,neutral
Eduroam me da asco,negative
4min para fazer download de 5MB. É este o estado desta eduroam.,negative
@peminuro agora que descobri qual era o problema com a eduroam ja nao sucka tanto lol,positive
@_AnaJorge_ já está tudo a espumar pela boca a ressacar? epah eu tenho uma antena yagi deve dar para vocês apanharem eduroam do isec LOL,neutral
Conectada a la eduroam muahahaha,positive
Como cunde o hospital de santiago! Con wifi eduroam de gratis!!!,positive
Olha... bloqueram o hidemyass na eduroam na #UA,negative
"Esta internet tem umas manias, de vez em quando ! #eduroam",neutral
Estou prestes a dar um murro á #eduroam ! LAAAAAAAG,negative
Miuda tens de pedir ajuda para a rede eduroam da Escola. Ontem em leiria tambem nRT @joanaislourenco @joaomacedo não é não :s ja te mostro,negative
@antonioj nada.. será por ter o profile da eduroam tb?,neutral
"@jmmlourenco quando aceito da ""impossivel ligar a rede eduroam""",negative
Alguém com conhecimento configuração de rede Eduroam para ios?,neutral
"@jmmlourenco sim.. mas depois da ""impossivel aceder a rede ""eduroam""""",negative
Que asco da eduroam.,negative
A eduroam está lenta como tudo :S,negative
"Weird shit. Saquei por torrents, hoje , na eduroam :/",negative
a eduroam aqui também funciona muito bem...,positive
@abadAbanades es el puto @eduroam. Muito obrigado. Abraçada.,neutral
Eduroam está que lo peta pim pam.,neutral
"RT @mallandroid: Se estades na @uvigo, @udc_gal ou @oficial_USC (ou outra uni) e queredes configurar #Eduroam nos vosos androides: http: ...",neutral
"Se estades na @uvigo, @udc_gal ou @oficial_USC (ou outra uni) e queredes configurar #Eduroam nos vosos androides: http://t.co/1XhkRkgj",neutral
Aceder à rede eduroam no Android http://t.co/u0dpEP9W,neutral
Aceder à rede eduroam no Android http://t.co/v1CIKe0K,neutral
Como aceder à rede #eduroam num #tablet com #Android. Mais info em: http://t.co/1GvQHBGH,neutral
